,at_least_4_accuracy,at_least_4_loss,at_least_6_or_at_most_2_accuracy,at_least_6_or_at_most_2_loss,loss,steps,total_F1,total_accuracy
1827,0.9949247241020203,0.02352225035429001,0.9862119555473328,0.30028513073921204,0.16326043009757996,18270,0.9905721545219421,0.9905256032943726
1828,0.9954239130020142,0.021762799471616745,0.9841722846031189,0.2981935441493988,0.16133321821689606,18280,0.9898030161857605,0.9897429347038269
1829,0.9958398938179016,0.022402305155992508,0.980827271938324,0.2961459755897522,0.16061599552631378,18290,0.9883354306221008,0.98826003074646
1830,0.9956735372543335,0.02110363356769085,0.9781349301338196,0.29599907994270325,0.15989887714385986,18300,0.9869312644004822,0.986818253993988
1831,0.9939262866973877,0.025633037090301514,0.9774006605148315,0.29656144976615906,0.16242529451847076,18310,0.9856756925582886,0.9855824708938599
1832,0.9956735372543335,0.021052327007055283,0.9791139960289001,0.2961767911911011,0.1599632054567337,18320,0.9874152541160583,0.9873125553131104
1833,0.9947583079338074,0.023170195519924164,0.9811536073684692,0.29872021079063416,0.16229595243930817,18330,0.9879862666130066,0.987889289855957
1834,0.9951742887496948,0.02176070213317871,0.9818063378334045,0.29847902059555054,0.16147629916667938,18340,0.9885085821151733,0.9884247779846191
1835,0.9960063099861145,0.020908689126372337,0.9774006605148315,0.29603055119514465,0.15981826186180115,18350,0.9867275953292847,0.9866123199462891
1836,0.996089518070221,0.02102002687752247,0.9811536073684692,0.2967926859855652,0.16025815904140472,18360,0.9886261820793152,0.9885483384132385
1837,0.9951742887496948,0.02345922216773033,0.9861303567886353,0.3003298044204712,0.16325175762176514,18370,0.9906496405601501,0.9906080365180969
1838,0.9929278492927551,0.032417092472314835,0.9849065542221069,0.30235955119132996,0.1687115877866745,18380,0.9889525175094604,0.9888778924942017
1839,0.9946750998497009,0.023566367104649544,0.9800930023193359,0.2968674302101135,0.161556676030159,18390,0.9874182939529419,0.9873125553131104
1840,0.9943422675132751,0.025833142921328545,0.9746267199516296,0.29711201786994934,0.16280236840248108,18400,0.9845058917999268,0.9843878746032715
1841,0.9963391423225403,0.02188262902200222,0.9800114035606384,0.29607513546943665,0.16032302379608154,18410,0.9881698489189148,0.988095223903656
1842,0.9963391423225403,0.02083061821758747,0.9835196137428284,0.29633933305740356,0.15993554890155792,18420,0.9899163842201233,0.9898665547370911
1843,0.9963391423225403,0.021277397871017456,0.9766663908958435,0.29664158821105957,0.1603093296289444,18430,0.9865207672119141,0.9864063262939453
1844,0.9962559342384338,0.02058032527565956,0.9756057858467102,0.29605090618133545,0.15966597199440002,18440,0.985970675945282,0.9858296513557434
1845,0.9963391423225403,0.02072613127529621,0.9736477136611938,0.29711249470710754,0.16027411818504333,18450,0.9850392937660217,0.9848821759223938
1846,0.9961727261543274,0.02045970968902111,0.975850522518158,0.2965404987335205,0.15985344350337982,18460,0.9860464930534363,0.985912024974823
1847,0.9957567453384399,0.020918721333146095,0.9754425883293152,0.29578015208244324,0.1596967726945877,18470,0.9856502413749695,0.9855000972747803
1848,0.9958398938179016,0.020411327481269836,0.9764216542243958,0.29562142491340637,0.1593654304742813,18480,0.9861728549003601,0.9860355854034424
1849,0.9951742887496948,0.022277191281318665,0.9818063378334045,0.29650479555130005,0.16073524951934814,18490,0.9885141849517822,0.9884247779846191
1850,0.9938430786132812,0.02697560377418995,0.9791955351829529,0.2978675961494446,0.16374951601028442,18500,0.9865818023681641,0.9864475131034851
1851,0.9951742887496948,0.02277875319123268,0.9734845161437988,0.29642537236213684,0.16094350814819336,18510,0.9844175577163696,0.9842231273651123
1852,0.9954239130020142,0.02162373997271061,0.9677734971046448,0.2961655259132385,0.16024042665958405,18520,0.9817429184913635,0.9814631938934326
1853,0.9943422675132751,0.024752428755164146,0.9611650705337524,0.2967603802680969,0.16208979487419128,18530,0.9780166745185852,0.9775910377502441
1854,0.9951742887496948,0.021859310567378998,0.949253499507904,0.29847317934036255,0.16152215003967285,18540,0.9726710319519043,0.9719887971878052
1855,0.9940927028656006,0.023932907730340958,0.9801746010780334,0.2966342270374298,0.16162031888961792,18550,0.9871847033500671,0.9870654344558716
1856,0.9950079321861267,0.022494327276945114,0.9879252910614014,0.29803404211997986,0.16161487996578217,18560,0.9914663434028625,0.9914318919181824
1857,0.9955071210861206,0.020238593220710754,0.9887410998344421,0.2968907058238983,0.15992076694965363,18570,0.9921117424964905,0.9920909404754639
1858,0.9962559342384338,0.02060096338391304,0.9874357581138611,0.2964525818824768,0.1598789244890213,18580,0.9918258786201477,0.9918026328086853
1859,0.996089518070221,0.021977368742227554,0.9848250150680542,0.29614436626434326,0.16040480136871338,18590,0.9904371500015259,0.9904020428657532
